dataset_code,layer_code,name,description,terrestrial,marine,freshwater,cellsize_equalarea,cellsize_lonlat,units,primary_type,primary_spatial_resolution,primary_source,start_year,start_month,start_day,end_year,end_month,end_day,derivation,month,is_surface,version
Bio-ORACLE,BO_bathymin,Bathymetry (minimum),Minimum depth of the seafloor,FALSE,TRUE,FALSE,7000,0.083333333,meters,GEBCO / EMODnet Bathymetry,30 arcsecond,GEBCO URL: http://gebco.net EMODnet Bathymetry URL: http://www.emodnet-bathymetry.eu/,2016,3,18,2016,3,18,minimum,NA,TRUE,1
Bio-ORACLE,BO_bathymax,Bathymetry (maximum),Maximum depth of the seafloor,FALSE,TRUE,FALSE,7000,0.083333333,meters,GEBCO / EMODnet Bathymetry,30 arcsecond,GEBCO URL: http://gebco.net EMODnet Bathymetry URL: http://www.emodnet-bathymetry.eu/,2016,3,18,2016,3,18,maximum,NA,TRUE,1
Bio-ORACLE,BO_bathymean,Bathymetry (mean),Average depth of the seafloor,FALSE,TRUE,FALSE,7000,0.083333333,meters,GEBCO / EMODnet Bathymetry,30 arcsecond,GEBCO URL: http://gebco.net EMODnet Bathymetry URL: http://www.emodnet-bathymetry.eu/,2016,3,18,2016,3,18,mean,NA,TRUE,1
MARSPEC,MS_bathy_5m,Bathymetry,Depth of the seafloor,FALSE,TRUE,FALSE,7000,0.083333333,meters,Satellite (SRTM),30 arcsecond,SRTM30_PLUS V6.0 reference: Becker et al. 2009 URL: http://topex.ucsd.edu/WWW_html/srtm30_plus.html,2009,1,1,2009,12,31,'',NA,TRUE,1
MARSPEC,MS_biogeo01_aspect_EW_5m,East/West aspect,East/West Aspect (sin(aspect in radians)),FALSE,TRUE,FALSE,7000,0.083333333,radians,Satellite (SRTM),30 arcsecond,SRTM30_PLUS V6.0 reference: Becker et al. 2009 URL: http://topex.ucsd.edu/WWW_html/srtm30_plus.html,2009,1,1,2009,12,31,derived from bathymetry (sin(aspect in radians)),NA,TRUE,1
MARSPEC,MS_biogeo02_aspect_NS_5m,North/South Aspect,North/South Aspect (cos(aspect in radians)),FALSE,TRUE,FALSE,7000,0.083333333,radians,Satellite (SRTM),30 arcsecond,SRTM30_PLUS V6.0 reference: Becker et al. 2009 URL: http://topex.ucsd.edu/WWW_html/srtm30_plus.html,2009,1,1,2009,12,31,derived from bathymetry (cos(aspect in radians)),NA,TRUE,1
MARSPEC,MS_biogeo03_plan_curvature_5m,Plan curvature,Plan curvature is the curvature in the direction perpendicular to the maximum slope and indicates whether flow across a surface would diverge (positive values) or converge (negative values).,FALSE,TRUE,FALSE,7000,0.083333333,unitless,Satellite (SRTM),30 arcsecond,SRTM30_PLUS V6.0 reference: Becker et al. 2009 URL: http://topex.ucsd.edu/WWW_html/srtm30_plus.html,2009,1,1,2009,12,31,derived from bathmetry,NA,TRUE,1
MARSPEC,MS_biogeo04_profile_curvature_5m,Profile curvature,Profile curvature is the curvature in the direction parallel to the maximum slope and indicates whether flow across a surface would accelerate (positive values) or decelerate (negative values).,FALSE,TRUE,FALSE,7000,0.083333333,unitless,Satellite (SRTM),30 arcsecond,SRTM30_PLUS V6.0 reference: Becker et al. 2009 URL: http://topex.ucsd.edu/WWW_html/srtm30_plus.html,2009,1,1,2009,12,31,derived from bathmetry,NA,TRUE,1
MARSPEC,MS_biogeo05_dist_shore_5m,Distance to shore,'',FALSE,TRUE,FALSE,7000,0.083333333,kilometers,'','',GSHHS v2.1 reference:Wessel and Smith 1996 URL:http://www.ngdc.noaa.gov/mgg/shorelines/gshhs.html,2009,1,1,2009,12,31,derived from GSHHS Coastline,NA,TRUE,1
MARSPEC,MS_biogeo06_bathy_slope_5m,Bathymetric slope,Bathymetric slope was measured in degrees ranging from 0Â¤ (flat surface) to 90Â¤ (vertical slo,FALSE,TRUE,FALSE,7000,0.083333333,degrees,Satellite (SRTM),30 arcsecond,SRTM30_PLUS V6.0 reference: Becker et al. 2009 URL: http://topex.ucsd.edu/WWW_html/srtm30_plus.html,2009,1,1,2009,12,31,derived from bathmetry,NA,TRUE,1
MARSPEC,MS_biogeo07_concavity_5m,Concavity,Concavity is the second derivative of the bathymetry layer (or the slope of the slope) and represents whether a raster cell is on a hill (negative values) or in a valley (positive values).,FALSE,TRUE,FALSE,7000,0.083333333,degrees,Satellite (SRTM),30 arcsecond,SRTM30_PLUS V6.0 reference: Becker et al. 2009 URL: http://topex.ucsd.edu/WWW_html/srtm30_plus.html,2009,1,1,2009,12,31,derived from bathmetry,NA,TRUE,1
MARSPEC,MS_biogeo08_sss_mean_5m,Sea surface salinity (annual mean),Measurements of sea surface salinity (SSS) were obtained from in situ oceanographic observations compiled by NOAA?s World Ocean Atlas 2009 (WOA09; Antonov et al. 2010).,FALSE,TRUE,FALSE,7000,0.083333333,psu,"in situ measurements, monthly climatologies",1 arcdegree,World Ocean Atlas 2009 reference:Antonov et al. 2010,1955,1,1,2006,12,31,"mean, spline interpolation",NA,TRUE,1
MARSPEC,MS_biogeo09_sss_min_5m,Sea surface salinity (monthly minimum),Measurements of sea surface salinity (SSS) were obtained from in situ oceanographic observations compiled by NOAA?s World Ocean Atlas 2009 (WOA09; Antonov et al. 2010).,FALSE,TRUE,FALSE,7000,0.083333333,psu,"in situ measurements, monthly climatologies",1 arcdegree,World Ocean Atlas 2009 reference:Antonov et al. 2010,1955,1,1,2006,12,31,"minimum, spline interpolation",NA,TRUE,1
MARSPEC,MS_biogeo10_sss_max_5m,Sea surface salinity (monthly maximum),Measurements of sea surface salinity (SSS) were obtained from in situ oceanographic observations compiled by NOAA?s World Ocean Atlas 2009 (WOA09; Antonov et al. 2010).,FALSE,TRUE,FALSE,7000,0.083333333,psu,"in situ measurements, monthly climatologies",1 arcdegree,World Ocean Atlas 2009 reference:Antonov et al. 2010,1955,1,1,2006,12,31,"maximum, spline interpolation",NA,TRUE,1
MARSPEC,MS_biogeo11_sss_range_5m,Sea surface salinity (annual range),Measurements of sea surface salinity (SSS) were obtained from in situ oceanographic observations compiled by NOAA?s World Ocean Atlas 2009 (WOA09; Antonov et al. 2010).,FALSE,TRUE,FALSE,7000,0.083333333,psu,"in situ measurements, monthly climatologies",1 arcdegree,World Ocean Atlas 2009 reference:Antonov et al. 2010,1955,1,1,2006,12,31,"range, spline interpolation",NA,TRUE,1
MARSPEC,MS_biogeo12_sss_variance_5m,Sea surface salinity (annual variance),Measurements of sea surface salinity (SSS) were obtained from in situ oceanographic observations compiled by NOAA?s World Ocean Atlas 2009 (WOA09; Antonov et al. 2010).,FALSE,TRUE,FALSE,7000,0.083333333,psu,"in situ measurements, monthly climatologies",1 arcdegree,World Ocean Atlas 2009 reference:Antonov et al. 2010,1955,1,1,2006,12,31,"variance, spline interpolation",NA,TRUE,1
MARSPEC,MS_biogeo13_sst_mean_5m,Sea surface temperature (annual mean),"Satellite measures of sea surface temperature (SST) were obtained at a 2.5 arc-minute resolution (approximately 4 km_) from Aqua-MODIS 4-micron nighttime SST Level 3 standard mapped image products, downloaded from NASA's Ocean Color website (http://oceancolor.gsfc.nasa.gov/).",FALSE,TRUE,FALSE,7000,0.083333333,Celsius,"Satellite (Aqua-MODIS), monthly climatologies",2.5 arcminute,Reference: (Feldman & McClain 2010) URL: http://oceancolor.gsfc.nasa.gov/,2002,1,1,2010,12,31,mean,NA,TRUE,1
MARSPEC,MS_biogeo14_sst_min_5m,Sea surface temperature (coldest ice-free month),"Satellite measures of sea surface temperature (SST) were obtained at a 2.5 arc-minute resolution (approximately 4 km_) from Aqua-MODIS 4-micron nighttime SST Level 3 standard mapped image products, downloaded from NASA's Ocean Color website (http://oceancolor.gsfc.nasa.gov/).",FALSE,TRUE,FALSE,7000,0.083333333,Celsius,"Satellite (Aqua-MODIS), monthly climatologies",2.5 arcminute,Reference: (Feldman & McClain 2010) URL: http://oceancolor.gsfc.nasa.gov/,2002,1,1,2010,12,31,minimum,NA,TRUE,1
MARSPEC,MS_biogeo15_sst_max_5m,Sea surface temperature (warmest ice-free month),"Satellite measures of sea surface temperature (SST) were obtained at a 2.5 arc-minute resolution (approximately 4 km_) from Aqua-MODIS 4-micron nighttime SST Level 3 standard mapped image products, downloaded from NASA's Ocean Color website (http://oceancolor.gsfc.nasa.gov/).",FALSE,TRUE,FALSE,7000,0.083333333,Celsius,"Satellite (Aqua-MODIS), monthly climatologies",2.5 arcminute,Reference: (Feldman & McClain 2010) URL: http://oceancolor.gsfc.nasa.gov/,2002,1,1,2010,12,31,maximum,NA,TRUE,1
MARSPEC,MS_biogeo16_sst_range_5m,Sea surface temperature (range),"Satellite measures of sea surface temperature (SST) were obtained at a 2.5 arc-minute resolution (approximately 4 km_) from Aqua-MODIS 4-micron nighttime SST Level 3 standard mapped image products, downloaded from NASA's Ocean Color website (http://oceancolor.gsfc.nasa.gov/).",FALSE,TRUE,FALSE,7000,0.083333333,Celsius,"Satellite (Aqua-MODIS), monthly climatologies",2.5 arcminute,Reference: (Feldman & McClain 2010) URL: http://oceancolor.gsfc.nasa.gov/,2002,1,1,2010,12,31,range,NA,TRUE,1
MARSPEC,MS_biogeo17_sst_variance_5m,Sea surface temperature (variance),"Satellite measures of sea surface temperature (SST) were obtained at a 2.5 arc-minute resolution (approximately 4 km_) from Aqua-MODIS 4-micron nighttime SST Level 3 standard mapped image products, downloaded from NASA's Ocean Color website (http://oceancolor.gsfc.nasa.gov/).",FALSE,TRUE,FALSE,7000,0.083333333,Celsius,"Satellite (Aqua-MODIS), monthly climatologies",2.5 arcminute,Reference: (Feldman & McClain 2010) URL: http://oceancolor.gsfc.nasa.gov/,2002,1,1,2010,12,31,variance,NA,TRUE,1
MARSPEC,MS_sss01_5m,Sea surface salinity (january),Average sea surface salinity for the month january.,FALSE,TRUE,FALSE,7000,0.083333333,psu,"in situ measurements, monthly climatologies",1 arcdegree,World Ocean Atlas 2009 reference:Antonov et al. 2010,1955,1,1,2006,12,31,mean,1,TRUE,1
MARSPEC,MS_sss02_5m,Sea surface salinity (february),Average sea surface salinity for the month february.,FALSE,TRUE,FALSE,7000,0.083333333,psu,"in situ measurements, monthly climatologies",1 arcdegree,World Ocean Atlas 2009 reference:Antonov et al. 2010,1955,1,1,2006,12,31,mean,2,TRUE,1
MARSPEC,MS_sss03_5m,Sea surface salinity (march),Average sea surface salinity for the month march,FALSE,TRUE,FALSE,7000,0.083333333,psu,"in situ measurements, monthly climatologies",1 arcdegree,World Ocean Atlas 2009 reference:Antonov et al. 2010,1955,1,1,2006,12,31,mean,3,TRUE,1
MARSPEC,MS_sss04_5m,Sea surface salinity (april),Average sea surface salinity for the month april.,FALSE,TRUE,FALSE,7000,0.083333333,psu,"in situ measurements, monthly climatologies",1 arcdegree,World Ocean Atlas 2009 reference:Antonov et al. 2010,1955,1,1,2006,12,31,mean,4,TRUE,1
MARSPEC,MS_sss05_5m,Sea surface salinity (may),Average sea surface salinity for the month may.,FALSE,TRUE,FALSE,7000,0.083333333,psu,"in situ measurements, monthly climatologies",1 arcdegree,World Ocean Atlas 2009 reference:Antonov et al. 2010,1955,1,1,2006,12,31,mean,5,TRUE,1
MARSPEC,MS_sss06_5m,Sea surface salinity (june),Average sea surface salinity for the month june.,FALSE,TRUE,FALSE,7000,0.083333333,psu,"in situ measurements, monthly climatologies",1 arcdegree,World Ocean Atlas 2009 reference:Antonov et al. 2010,1955,1,1,2006,12,31,mean,6,TRUE,1
MARSPEC,MS_sss07_5m,Sea surface salinity (july),Average sea surface salinity for the month july.,FALSE,TRUE,FALSE,7000,0.083333333,psu,"in situ measurements, monthly climatologies",1 arcdegree,World Ocean Atlas 2009 reference:Antonov et al. 2010,1955,1,1,2006,12,31,mean,7,TRUE,1
MARSPEC,MS_sss08_5m,Sea surface salinity (august),Average sea surface salinity for the month august.,FALSE,TRUE,FALSE,7000,0.083333333,psu,"in situ measurements, monthly climatologies",1 arcdegree,World Ocean Atlas 2009 reference:Antonov et al. 2010,1955,1,1,2006,12,31,mean,8,TRUE,1
MARSPEC,MS_sss09_5m,Sea surface salinity (september),Average sea surface salinity for the month september.,FALSE,TRUE,FALSE,7000,0.083333333,psu,"in situ measurements, monthly climatologies",1 arcdegree,World Ocean Atlas 2009 reference:Antonov et al. 2010,1955,1,1,2006,12,31,mean,9,TRUE,1
MARSPEC,MS_sss10_5m,Sea surface salinity (october),Average sea surface salinity for the month october.,FALSE,TRUE,FALSE,7000,0.083333333,psu,"in situ measurements, monthly climatologies",1 arcdegree,World Ocean Atlas 2009 reference:Antonov et al. 2010,1955,1,1,2006,12,31,mean,10,TRUE,1
MARSPEC,MS_sss11_5m,Sea surface salinity (november),Average sea surface salinity for the month november.,FALSE,TRUE,FALSE,7000,0.083333333,psu,"in situ measurements, monthly climatologies",1 arcdegree,World Ocean Atlas 2009 reference:Antonov et al. 2010,1955,1,1,2006,12,31,mean,11,TRUE,1
MARSPEC,MS_sss12_5m,Sea surface salinity (december),Average sea surface salinity for the month december.,FALSE,TRUE,FALSE,7000,0.083333333,psu,"in situ measurements, monthly climatologies",1 arcdegree,World Ocean Atlas 2009 reference:Antonov et al. 2010,1955,1,1,2006,12,31,mean,12,TRUE,1
MARSPEC,MS_sst01_5m,Sea surface temperature (january),Average sea surface temperature for the month january.,FALSE,TRUE,FALSE,7000,0.083333333,Celsius,"Satellite (Aqua-MODIS), monthly climatologies",2.5 arcminute,Reference: (Feldman & McClain 2010) URL: http://oceancolor.gsfc.nasa.gov/,2002,1,1,2010,12,31,mean,1,TRUE,1
MARSPEC,MS_sst02_5m,Sea surface temperature (february),Average sea surface temperature for the month february.,FALSE,TRUE,FALSE,7000,0.083333333,Celsius,"Satellite (Aqua-MODIS), monthly climatologies",2.5 arcminute,Reference: (Feldman & McClain 2010) URL: http://oceancolor.gsfc.nasa.gov/,2002,1,1,2010,12,31,mean,2,TRUE,1
MARSPEC,MS_sst03_5m,Sea surface temperature (march),Average sea surface temperature for the month march,FALSE,TRUE,FALSE,7000,0.083333333,Celsius,"Satellite (Aqua-MODIS), monthly climatologies",2.5 arcminute,Reference: (Feldman & McClain 2010) URL: http://oceancolor.gsfc.nasa.gov/,2002,1,1,2010,12,31,mean,3,TRUE,1
MARSPEC,MS_sst04_5m,Sea surface temperature (april),Average sea surface temperature for the month april.,FALSE,TRUE,FALSE,7000,0.083333333,Celsius,"Satellite (Aqua-MODIS), monthly climatologies",2.5 arcminute,Reference: (Feldman & McClain 2010) URL: http://oceancolor.gsfc.nasa.gov/,2002,1,1,2010,12,31,mean,4,TRUE,1
MARSPEC,MS_sst05_5m,Sea surface temperature (may),Average sea surface temperature for the month may.,FALSE,TRUE,FALSE,7000,0.083333333,Celsius,"Satellite (Aqua-MODIS), monthly climatologies",2.5 arcminute,Reference: (Feldman & McClain 2010) URL: http://oceancolor.gsfc.nasa.gov/,2002,1,1,2010,12,31,mean,5,TRUE,1
MARSPEC,MS_sst06_5m,Sea surface temperature (june),Average sea surface temperature for the month june.,FALSE,TRUE,FALSE,7000,0.083333333,Celsius,"Satellite (Aqua-MODIS), monthly climatologies",2.5 arcminute,Reference: (Feldman & McClain 2010) URL: http://oceancolor.gsfc.nasa.gov/,2002,1,1,2010,12,31,mean,6,TRUE,1
MARSPEC,MS_sst07_5m,Sea surface temperature (july),Average sea surface temperature for the month july.,FALSE,TRUE,FALSE,7000,0.083333333,Celsius,"Satellite (Aqua-MODIS), monthly climatologies",2.5 arcminute,Reference: (Feldman & McClain 2010) URL: http://oceancolor.gsfc.nasa.gov/,2002,1,1,2010,12,31,mean,7,TRUE,1
MARSPEC,MS_sst08_5m,Sea surface temperature (august),Average sea surface temperature for the month august.,FALSE,TRUE,FALSE,7000,0.083333333,Celsius,"Satellite (Aqua-MODIS), monthly climatologies",2.5 arcminute,Reference: (Feldman & McClain 2010) URL: http://oceancolor.gsfc.nasa.gov/,2002,1,1,2010,12,31,mean,8,TRUE,1
MARSPEC,MS_sst09_5m,Sea surface temperature (september),Average sea surface temperature for the month september.,FALSE,TRUE,FALSE,7000,0.083333333,Celsius,"Satellite (Aqua-MODIS), monthly climatologies",2.5 arcminute,Reference: (Feldman & McClain 2010) URL: http://oceancolor.gsfc.nasa.gov/,2002,1,1,2010,12,31,mean,9,TRUE,1
MARSPEC,MS_sst10_5m,Sea surface temperature (october),Average sea surface temperature for the month october.,FALSE,TRUE,FALSE,7000,0.083333333,Celsius,"Satellite (Aqua-MODIS), monthly climatologies",2.5 arcminute,Reference: (Feldman & McClain 2010) URL: http://oceancolor.gsfc.nasa.gov/,2002,1,1,2010,12,31,mean,10,TRUE,1
MARSPEC,MS_sst11_5m,Sea surface temperature (november),Average sea surface temperature for the month november.,FALSE,TRUE,FALSE,7000,0.083333333,Celsius,"Satellite (Aqua-MODIS), monthly climatologies",2.5 arcminute,Reference: (Feldman & McClain 2010) URL: http://oceancolor.gsfc.nasa.gov/,2002,1,1,2010,12,31,mean,11,TRUE,1
MARSPEC,MS_sst12_5m,Sea surface temperature (december),Average sea surface temperature for the month december.,FALSE,TRUE,FALSE,7000,0.083333333,Celsius,"Satellite (Aqua-MODIS), monthly climatologies",2.5 arcminute,Reference: (Feldman & McClain 2010) URL: http://oceancolor.gsfc.nasa.gov/,2002,1,1,2010,12,31,mean,12,TRUE,1
Bio-ORACLE,BO2_chlomax_bdmax,Chlorophyll concentration (maximum at max depth),Maximum mass concentration of chlorophyll in sea water at maximum bottom depth,FALSE,TRUE,FALSE,7000,0.083333333,mg/mÅ,Model,0.25 arcdegree,Global Ocean Biogeochemistry NON ASSIMILATIVE Hindcast (PISCES) URL: http://marine.copernicus.eu/,2000,NA,NA,2014,NA,NA,maximum value at maximum bottom depth,NA,FALSE,2
